"id","course_id","student_id","lecturer_id","attendance_date","status"
"1","1","1","2","2025-01-07","present"
"2","1","1","2","2025-01-08","absent"
"3","1","2","2","2025-01-08","present"
"4","1","3","2","2025-01-08","present"
"5","1","4","2","2025-01-08","present"
"6","1","5","2","2025-01-08","present"
"7","1","1","2","2025-01-08","present"
"8","1","2","2","2025-01-08","absent"
"9","1","3","2","2025-01-08","present"
"10","1","4","2","2025-01-08","present"
"11","1","5","2","2025-01-08","absent"
"12","2","2","3","2025-01-08","present"
"13","2","1","3","2025-01-08","present"
"14","2","3","3","2025-01-08","absent"
"15","2","4","3","2025-01-08","present"
"16","2","5","3","2025-01-08","absent"
"17","2","2","3","2025-01-08","present"
"18","2","1","3","2025-01-08","absent"
"19","2","3","3","2025-01-08","present"
"20","2","4","3","2025-01-08","absent"
"21","2","5","3","2025-01-08","present"
"22","2","2","3","2025-01-08","absent"
"23","2","1","3","2025-01-08","present"
"24","2","3","3","2025-01-08","absent"
"25","2","4","3","2025-01-08","present"
"26","2","5","3","2025-01-08","present"
"27","2","2","3","2025-01-08","present"
"28","2","1","3","2025-01-08","present"
"29","2","3","3","2025-01-08","present"
"30","2","4","3","2025-01-08","present"
"31","2","5","3","2025-01-08","present"
"record_id","student_id","course_code","date","status"
"course_id","course_name","course_code","lecturer_id","semester","level"
"1","AI","csc 4311","2","1","400"
"2","Database","CSC 4313","3","1","400"
"4","Networking","CSC 4303","4","1","400"
"department_id","department_name"
"eligibility_id","student_id","course_id","eligibility_status","attendance_percentage"
"enrollment_id","student_id","course_id"
"id","fullname","req_no","password","level"
"1","Student1","001","$2y$10$3tw34FHAbJXVrOZFy8dJCORo5ZEOOTNlheCXgR2YSGySPf9/y8C86","400"
"2","Student2","002","$2y$10$XEMwsKptOodIo9.I6Bk87ehYi.kQHXi0zCYGaiN6wfzFrbb9lyTfi","400"
"3","Student3","003","$2y$10$CDWEygScJ/lNgBtcRKQsO.WrhH23a8cp9QohlhC3CnuIZXSY.S7tW","400"
"4","student4","004","$2y$10$A7M/LtElBPYlF2I9dCc7vuH/mzRij6t8pZJro6VfMwgBHXGnUUduS","400"
"5","Student5","005","$2y$10$.R4bnDj2dyt3mVYD1n21L.isixEg5xmBZMcbu4QHlVw8gi8s.3HOy","400"
"id","student_id","course_id","enrollment_date"
"1","1","1","2025-01-07"
"2","2","1","2025-01-08"
"3","2","2","2025-01-08"
"4","2","4","2025-01-08"
"5","1","2","2025-01-08"
"6","1","4","2025-01-08"
"7","3","4","2025-01-08"
"8","3","1","2025-01-08"
"9","3","2","2025-01-08"
"10","4","1","2025-01-08"
"11","4","4","2025-01-08"
"12","4","2","2025-01-08"
"13","5","1","2025-01-08"
"14","5","2","2025-01-08"
"15","5","4","2025-01-08"
"user_id","username","full_name","email","role","password"
"1","A1","Admin","admin@mail.com","admin","$2y$10$R3GHP87Go.tMHn66CPJXhu4Ez9ea7SydRUfm27pHowmtk6SPbtQ3u"
"2","L1","Lecturer","l1@mail.com","lecturer","$2y$10$bpnUdXa.gBPc6dw7.2CmSuT47M2HdjekHxFnl8s03XcP2xXEbR806"
"3","L2","Lecturer2","l2@gmail.com","lecturer","$2y$10$pVxw4gyUBejf75r/7chE7um3iXjDYTa71Alnsbi8NRuxLrUbeRD4e"
"4","L3","Lecturer3","l3@gmail.com","lecturer","$2y$10$ktM7.4QppF9VbkDARx.KROmAZBfRGRaq0UOHDKpLqpm.PnbDlr5Qm"
